Date, AvgTemperature, Precipitation, Snowfall, SnowDepth
2026-01-01, 12.5, M, M, M
2026-01-02, 15.5, M, M, M
2026-01-03, M, M, M, M
2026-01-04, 22.0, M, M, M
2026-01-05, M, M, M, M
2026-01-06, 39.0, M, M, M
2026-01-07, 36.5, M, M, M
2026-01-08, 48.0, M, M, M
2026-01-09, 39.5, M, M, M
2026-01-10, 32.0, M, M, M
2026-01-11, 28.5, M, M, M
2026-01-12, 35.0, M, M, M
2026-01-13, M, M, M, M
2026-01-14, M, M, M, M
2026-01-15, M, M, M, M
2026-01-16, M, M, M, M
2026-01-17, M, M, M, M
2026-01-18, M, M, M, M
2026-01-19, M, M, M, M
2026-01-20, M, M, M, M
2026-01-21, M, M, M, M
2026-01-22, M, M, M, M
2026-01-23, M, M, M, M
2026-01-24, M, M, M, M
2026-01-25, M, M, M, M
2026-01-26, 1.5, M, M, M
2026-01-27, 6.5, M, M, M
2026-01-28, 6.0, M, M, M
2026-01-29, M, M, M, M
2026-01-30, M, M, M, M
2026-01-31, M, M, M, M
2026-02-01, 16.5, M, M, M
2026-02-02, M, M, M, M
2026-02-03, M, M, M, M
2026-02-04, M, M, M, M
2026-02-05, M, M, M, M
2026-02-06, M, M, M, M
2026-02-07, M, M, M, M
2026-02-08, M, M, M, M
2026-02-09, M, M, M, M
2026-02-10, M, M, M, M
2026-02-11, M, M, M, M
2026-02-12, 27.5, M, M, M
2026-02-13, 37.5, M, M, M
2026-02-14, 39.0, M, M, M
2026-02-15, 47.0, M, M, M
2026-02-16, 50.5, M, M, M
2026-02-17, 45.5, M, M, M
2026-02-18, 53.5, M, M, M
2026-02-19, 44.0, M, M, M
2026-02-20, 32.0, M, M, M
2026-02-21, 25.5, M, M, M
2026-02-22, 21.5, M, M, M
2026-02-23, 23.0, M, M, M
2026-02-24, 28.0, M, M, M
2026-02-25, 28.5, M, M, M
2026-02-26, 27.5, 0.00, M, M
2026-02-27, 45.5, 0.00, M, M
2026-02-28, 28.5, M, M, M
2026-03-01, 24.5, M, M, M
2026-03-02, 31.0, 0.00, M, M
2026-03-03, 37.5, M, M, M
2026-03-04, 35.5, M, M, M
2026-03-05, 41.0, M, M, M
2026-03-06, 52.0, M, M, M
2026-03-07, 51.0, M, M, M
2026-03-08, 47.5, M, M, M
2026-03-09, 61.0, M, M, M
2026-03-10, 40.0, M, M, M
2026-03-11, 34.5, M, M, M
2026-03-12, 36.5, M, M, M
2026-03-13, 39.5, M, M, M
2026-03-14, 31.5, M, M, M
2026-03-15, 36.5, M, M, M
2026-03-16, 23.0, M, M, M
2026-03-17, 15.5, M, M, M
2026-03-18, 31.0, M, M, M
2026-03-19, 42.0, M, M, M
2026-03-20, 52.5, M, M, M
2026-03-21, 54.0, M, M, M
2026-03-22, 35.5, M, M, M
2026-03-23, 34.5, M, M, M
2026-03-24, 40.0, M, M, M
2026-03-25, 54.5, M, M, M
2026-03-26, M, M, M, M
2026-03-27, M, M, M, M
2026-03-28, M, M, M, M
2026-03-29, M, M, M, M
2026-03-30, M, M, M, M
2026-03-31, M, M, M, M
2026-04-01, M, M, M, M
2026-04-02, M, M, M, M
2026-04-03, 42.5, M, M, M
2026-04-04, 44.5, M, M, M
2026-04-05, 44.0, M, M, M
2026-04-06, 40.0, M, M, M
2026-04-07, 29.5, M, M, M
2026-04-08, 53.5, M, M, M
2026-04-09, 55.5, M, M, M
2026-04-10, 44.0, M, M, M
2026-04-11, 42.0, M, M, M
2026-04-12, 69.0, M, M, M
2026-04-13, M, M, M, M
2026-04-14, 68.0, M, M, M
2026-04-15, 67.5, M, M, M
2026-04-16, M, M, M, M
2026-04-17, 64.0, 1.33, M, M
2026-04-18, M, M, M, M
2026-04-19, M, M, M, M
2026-04-20, M, M, M, M
2026-04-21, 59.0, T, M, M
2026-04-22, 54.5, 0.00, M, M
2026-04-23, 62.5, 0.00, M, M
2026-04-24, 57.5, 0.00, M, M
2026-04-25, 47.0, 0.00, M, M
2026-04-26, 46.5, 0.00, M, M
2026-04-27, 54.5, 0.44, M, M
2026-04-28, M, M, M, M
